id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1080038179384655877,1080038179384655877,2019-01-01 09:49:02 UTC,2019-01-01,09:49:02,+0000,939788359764819968,cals1119,カモネギ人生🐉,,🅱️やろ！,ja,[],[],[],0,0,3,[],[],https://twitter.com/cals1119/status/1080038179384655877,False,,0,,,,,,,,[],,,,
1080005309723078656,1080002198765854721,2019-01-01 07:38:26 UTC,2019-01-01,07:38:26,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@jiroumashimashi たしかに笑 のど詰めそやしな‼︎,ja,[],[],[],1,0,1,[],[],https://twitter.com/cals1119/status/1080005309723078656,False,,0,,,,,,,,"[{'screen_name': 'jiroumashimashi', 'name': 'マシマシ', 'id': '923385068827041793'}]",,,,
1080004342285922304,1080002198765854721,2019-01-01 07:34:35 UTC,2019-01-01,07:34:35,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@jiroumashimashi 時間4分で500円とか,ja,[],[],[],1,0,1,[],[],https://twitter.com/cals1119/status/1080004342285922304,False,,0,,,,,,,,"[{'screen_name': 'jiroumashimashi', 'name': 'マシマシ', 'id': '923385068827041793'}]",,,,
1080002198765854721,1080002198765854721,2019-01-01 07:26:04 UTC,2019-01-01,07:26:04,+0000,939788359764819968,cals1119,カモネギ人生🐉,,箸と皿渡して、バイキング屋台焼きそばとかないんかな  https://t.co/iARQbGZSKc,ja,[],[],['https://pbs.twimg.com/media/DvzwRP3U0AEiiby.jpg'],1,0,8,[],[],https://twitter.com/cals1119/status/1080002198765854721,False,,1,https://pbs.twimg.com/media/DvzwRP3U0AEiiby.jpg,,,,,,,[],,,,
1079961013099753472,1079949757592694785,2019-01-01 04:42:24 UTC,2019-01-01,04:42:24,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@jiroumashimashi @marihiro69 @mogmogerio @btcscalper225 カツ丼 脂肪 増量 死んでまう‼︎笑,ja,[],[],[],0,0,3,[],[],https://twitter.com/cals1119/status/1079961013099753472,False,,0,,,,,,,,"[{'screen_name': 'jiroumashimashi', 'name': 'マシマシ', 'id': '923385068827041793'}, {'screen_name': 'marihiro69', 'name': 'まりひろ69', 'id': '1282025406'}, {'screen_name': 'mogmogerio', 'name': 'えりんぎ', 'id': '931131525613027328'}, {'screen_name': 'btcscalper225', 'name': 'ニイやん', 'id': '62935968'}]",,,,
1079771183099240449,1079761733407825926,2018-12-31 16:08:05 UTC,2018-12-31,16:08:05,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@skijamp 今年も宜しくお願いします😇 K点超えられるように頑張りましょう⛷,ja,[],[],[],1,0,1,[],[],https://twitter.com/cals1119/status/1079771183099240449,False,,0,,,,,,,,"[{'screen_name': 'skijamp', 'name': 'スキージャンプ(５才)', 'id': '1040903889665441792'}]",,,,
1079761733407825926,1079761733407825926,2018-12-31 15:30:32 UTC,2018-12-31,15:30:32,+0000,939788359764819968,cals1119,カモネギ人生🐉,,年変わる瞬間寝てました。 トレキチ目指して頑張ります。 今年も宜しくお願いします！  https://t.co/3gn8jbzmKj,ja,[],[],['https://pbs.twimg.com/media/DvwVkjGUYAE3y-g.jpg'],1,0,31,[],[],https://twitter.com/cals1119/status/1079761733407825926,False,,1,https://pbs.twimg.com/media/DvwVkjGUYAE3y-g.jpg,,,,,,,[],,,,
1079717072811130880,1079709582069362690,2018-12-31 12:33:04 UTC,2018-12-31,12:33:04,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@btcfx1 @mogmogerio  https://t.co/DoqrpsggFr,und,[],[],['https://pbs.twimg.com/media/Dvvs86jVYAE4MZ5.jpg'],1,0,2,[],[],https://twitter.com/cals1119/status/1079717072811130880,False,,1,https://pbs.twimg.com/media/Dvvs86jVYAE4MZ5.jpg,,,,,,,"[{'screen_name': 'btcfx1', 'name': '下克上戦士🍯', 'id': '925764087656546310'}]",,,,
1079715974641668097,1079709582069362690,2018-12-31 12:28:43 UTC,2018-12-31,12:28:43,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@btcfx1 @mogmogerio ちょっと探す時間下さい,ja,[],[],[],2,0,2,[],[],https://twitter.com/cals1119/status/1079715974641668097,False,,0,,,,,,,,"[{'screen_name': 'btcfx1', 'name': '下克上戦士🍯', 'id': '925764087656546310'}, {'screen_name': 'mogmogerio', 'name': 'えりんぎ', 'id': '931131525613027328'}]",,,,
1079715179279994881,1079709582069362690,2018-12-31 12:25:33 UTC,2018-12-31,12:25:33,+0000,939788359764819968,cals1119,カモネギ人生🐉,,@btcfx1 @mogmogerio それ行こうかな…🍾,ja,[],[],[],1,0,2,[],[],https://twitter.com/cals1119/status/1079715179279994881,False,,0,,,,,,,,"[{'screen_name': 'btcfx1', 'name': '下克上戦士🍯', 'id': '925764087656546310'}, {'screen_name': 'mogmogerio', 'name': 'えりんぎ', 'id': '931131525613027328'}]",,,,
