,sentence
0,電気料金振込依頼書
1,通常払込料金
2,加入者負担
3,電気料金払込票兼受領証
4,お振込人
5,口座番号 加入者名
6,00140-9
7,900136
8,佐藤 和樹
9,様
10,関西電力株式会社
11,お 客 さ ま 番 号
12,日程
13,所
14,番
15,02152161040121
16,金額
17,億
18,千
19,百 十
20,万 千百 十 円
21,3 7
22,9
23,9
24,年月分
25,X
26,お番 日程 所
27,切り取らないでお支払い窓口にお出しください。
28,¥号0215216104012131
29,お客さま お払込人
30,契種 月分
31,3- 9
32,号
33,9
34,金 額
35,"3,799"
36,佐藤 和樹
37,様
38,ご注意
39,〒530-8431
40,◎ 関西電力
41,大阪料金センター
42,左側の2枚をお出しください。
43,ゆうちょ銀行でお支払いの際は、
44,受付局(金融機関)日附印
45,受付局(金融機関)日附印
46,料
47,金
48,備
49,○ 関西電力
50,取扱店控え
