,sentence
0,【地方上級過去問 1】次の文の主旨として、最も妥当なのはどれか。
1,日本人は常に外国の文化を尊敬と親愛をもって、自国に取り入れ、時には自国の民族性を
2,見失うように見える時期もありますが、それを消化吸収して、日本独自のものを生み出し
3,て来ていることは皆様も認めておられると思います。
4,丁度、今、日本の昔の書の展覧会がケルンで催されていますが、中国の漢字を基にしなが
5,ら、千年も前に、すでに仮名という日本独特の文字を造り出しているのを御覧になったで
6,しょう。仮名の美、あるいは、漢字と仮名の調和の美は、日本民族が生み出したものであ
7,ります。
8,美術の分野でも千年も前から漢絵––中国の絵画または中国風な絵––と、大和絵––日
9,本の民族的な好みによって生まれた絵画形式––との二つが行われて来ました。また、明
10,治期以後、西洋からの油絵と、日本の伝統的な画風の日本画との二つが現在まで続いてい
11,ます。
12,こうして、外国からの影響を受けながら、やはり、外国には無い日本の美を創造して来た
13,のです。それは、日本の自然環境と、民族の歴史によるものと思います。
14,即ち、極東の島国である日本は、古い時代から、流れ込んで来た外来の文化が、日本を通
15,って、次にどこへ行くという道は無かったのであります。そして、この国の温和な自然の
16,中で、徐々に民族性によって純化され、日本独特の美の姿に変貌して行く運命を持ってい
17,たと言えるでしょう。
18,島国という閉鎖的な霊の中で、早い時期から統一国家であった日本は、民族的な精神基盤
19,を失うことなく、しかも、外来文化の注入によって生まれる刺戟と緊張によって、新しい
20,エネルギーを生み出し、老化を防いで来たと言えるでしょう。
21,(東山魁夷「日本の美を求めて」による)
22,1. 日本人は常に外国の文化を尊敬と親愛をもって、自国に取り入れ、時には自国の民族性
23,を見失うように見える時期もあるが、それを消化吸収して、日本独自のものを生み出して
24,来た。
25,2. 仮名の美、あるいは、漢字と仮名の調和の実は、日本民族が生み出したものである。
26,3. 極東の島国である日本は、古い時代から、流れ込んで来た外来の文化が、日本を通って、
27,次にどこへ行くという道は無かった。
28,4. 流れ込んで来た外来の文化は、温和な自然の中で、徐々に民族性によって純化され、日
29,本独特の美の姿に変貌して行く運命を持っていた。
30,5. 島国という閉鎖的な壺の中で、早い時期から統一国家であった日本は、民族的な精神基
31,盤を失うことなく、しかも、外来文化の注入によって生まれる刺戟と緊張によって、新し
32,いエネルギーを生み出し、老化を防いで来た。
33,論文では、文章の最後の方が結論になるから、最終部分の文章とほぼ一致する選択肢 5 が
34,正解となりやすい。それを検証してみます。
